Case,Sample_ID,Sample_Code,Site_ID,Batch,Sample_type,Site.name,Pond,Pond_L,Site_type,Time_point,Month,Date,Time,Temp.C,pH,ORP_mV,EC.uS.cm,DO,Ca,K,Mg,Na,Cl,NO3,SO4,6_Li,7_Li,7_Li_He,9_Be,11_B,27_Al,45_Sc,47_Ti_,51_V_He,52_Cr_He,55_Mn,56_Fe_He,59_Co,60_Ni,63_Cu,68_Zn,65_Ga,74_Ge,75_As_He,78_Se,85_Rb,88_Sr,89_Y,90_Zr,93_Nb,97_Mo,98_Mo,111_Cd,114_Cd,115_In,123_Sb,125_Te,133_Cs,135_Ba,139_La,140_Ce,141_Pr,146_Nd,147_Sm,153_Eu,157_Gd,159_Tb,163_Dy,165_Ho,166_Er,169_Tm,172_Yb,175_Lu,181_Ta,182_W,200_Hg,201_Hg,202_Hg,205_Tl,206_Pb,207_Pb,209_Bi,232_Th,238_U
78,SGG78,78,7,4,Sample,Taff Bargoed,11,eleven,FeOB-rich,3,August,42587,0.625694444,12.1,7.07,,689,45.1,1.9462049,0.294130435,0.872659947,0.635065075,0.275860513,0.018224354,1.134144463,0.004469879,0.003334279,0.003251535,4.32E-07,0.002349556,0,1.27E-05,4.14E-06,0,0,0.009654709,0.109431285,1.51E-05,1.87E-05,0,1.52E-05,1.37E-05,0,3.58E-05,8.85E-06,4.59E-05,0.006523011,2.72E-07,0,0,3.64E-06,6.28E-06,0,0,0,2.19E-08,2.05E-07,2.50E-07,0.000311777,3.82E-08,4.40E-08,6.20E-09,4.22E-08,0,5.34E-08,2.26E-09,1.15E-09,7.02E-09,2.84E-09,2.35E-10,0,6.09E-09,1.03E-09,0,0,4.20E-08,5.01E-08,5.55E-08,0,0,0,0,0,7.66E-07
79,SGG79,79,12,4,Sample,Cefn Hengoed,11,eleven,FeOB-rich,1,August,42587,0.684027778,11.4,6.66,,796.4,0.2,2.50761016,0.271111532,1.030652129,0.674212922,0.367814017,0.01467625,1.913315762,0.006009348,0.004838738,0.004741874,2.09E-06,0.003609536,0,1.50E-05,4.60E-06,0,0,0.009320697,0.053740306,5.69E-05,9.99E-05,0,7.22E-05,8.04E-06,0,2.15E-05,9.16E-06,5.34E-05,0.00804431,4.40E-07,0,0,0,7.47E-07,0,0,0,4.30E-07,2.08E-07,3.06E-07,0.000188994,8.66E-08,1.47E-07,1.60E-08,8.64E-08,1.22E-08,4.20E-08,2.03E-08,4.35E-09,1.51E-08,3.29E-09,9.21E-09,0,6.15E-09,2.89E-09,0,0,4.91E-08,5.48E-08,4.99E-08,1.28E-07,0,0,0,0,3.64E-07
80,SGG80,80,12,4,Sample,Cefn Hengoed,11,eleven,FeOB-rich,2,August,42587,0.694444444,11.4,6.69,,796.2,0,2.357902091,0.273669188,1.01008023,0.782956941,0.37176294,0.016127747,1.906028923,0.005838564,0.004785123,0.004482597,1.49E-06,0.003526377,0,1.44E-05,4.89E-06,0,0,0.00913019,0.053424126,5.56E-05,9.75E-05,0,1.97E-05,7.50E-06,0,2.20E-05,8.68E-06,5.25E-05,0.007848407,4.36E-07,0,0,3.02E-07,8.45E-07,0,0,0,0,3.86E-07,3.15E-07,0.000182128,9.78E-08,1.67E-07,1.73E-08,1.02E-07,1.80E-08,3.28E-08,1.40E-08,2.59E-09,1.81E-08,3.55E-09,1.33E-08,2.36E-10,1.08E-08,3.62E-09,0,0,3.88E-08,6.44E-08,5.12E-08,1.34E-07,0,0,0,0,3.53E-07
81,SGG81,81,12,5,Sample,Cefn Hengoed,11,eleven,FeOB-rich,3,August,42587,0.704861111,11.4,6.69,,796.6,0,2.245621039,0.273669188,1.036823699,0.791656463,0.369788479,0.01403114,1.920602601,0.00596129,0.004888896,0.004291915,1.59E-06,0.003594718,0,1.43E-05,1.60E-05,0,0,0.009245552,0.053988525,5.63E-05,9.75E-05,0,3.60E-05,7.29E-06,0,2.07E-05,1.09E-05,5.35E-05,0.008016621,4.40E-07,0,0,0,1.25E-06,0,0,0,0,2.35E-07,3.45E-07,0.000184504,9.15E-08,1.59E-07,1.42E-08,9.43E-08,9.69E-09,3.05E-08,8.82E-09,3.25E-09,2.29E-08,2.73E-09,1.12E-08,1.51E-09,1.19E-08,2.19E-09,0,0,2.47E-08,1.68E-08,1.00E-08,1.33E-07,0,0,4.91E-08,0,3.67E-07
82,SGG82,82,1,5,Sample,Ynysarwed,6,six,FeOB-rich,1,December,42709,0.46875,12.9,6.26,49.6,1633,32.8,3.206247817,0.498742912,2.275252006,2.914339726,0.334530233,0.019675852,11.34664951,0.0163549,0.013174443,0.012733183,5.34E-05,0.003900391,0.015825461,2.25E-05,1.23E-05,0,0,0.03024989,1.551977222,0.000153378,0.000547518,1.46E-05,0.000273907,2.78E-06,0,0.000652559,2.03E-05,9.98E-05,0.013593755,2.80E-05,0,0,1.10E-05,1.27E-05,4.63E-08,0,0,1.53E-07,2.74E-07,1.04E-06,7.65E-05,7.86E-07,2.99E-06,5.68E-07,2.87E-06,9.87E-07,3.42E-07,2.03E-06,3.97E-07,2.30E-06,4.80E-07,1.34E-06,1.78E-07,1.02E-06,1.64E-07,0,0,2.64E-08,4.24E-09,1.38E-08,1.03E-08,0,0,0,0,5.13E-07
83,SGG83,83,1,5,Sample,Ynysarwed,6,six,FeOB-rich,2,December,42709,0.482638889,12.9,6.35,48.8,1633,32.8,3.218723489,0.485954632,2.248508537,2.970886616,0.334248167,0.020159684,11.58607423,0.015392502,0.012332778,0.011909025,3.97E-05,0.003706967,0.002607535,2.09E-05,9.25E-06,0,0,0.029377436,1.540400804,0.00014976,0.000533298,0,0.000210367,2.50E-06,0,0.000638413,1.44E-05,9.84E-05,0.013246541,2.17E-05,0,0,1.13E-05,1.20E-05,3.21E-08,0,0,8.60E-08,3.65E-07,1.05E-06,7.56E-05,6.36E-07,2.12E-06,3.45E-07,1.87E-06,5.47E-07,2.01E-07,1.25E-06,2.28E-07,1.39E-06,3.24E-07,9.23E-07,1.13E-07,6.03E-07,9.49E-08,0,0,5.56E-08,5.48E-08,3.03E-08,8.85E-09,0,0,3.44E-08,1.36E-07,4.37E-07
84,SGG84,84,1,5,Sample,Ynysarwed,6,six,FeOB-rich,3,December,42709,0.496527778,12.9,6.35,48.5,1632,32.6,3.193772144,0.48083932,2.236165398,2.966536855,0.334812299,0.019030742,12.03369434,0.014930549,0.011999923,0.011053546,4.03E-05,0.003620791,0.002778511,1.98E-05,7.58E-06,0,0,0.029465687,1.472894789,0.000148893,0.000535128,0,0.000236175,2.69E-06,0,0.00060098,1.76E-05,9.84E-05,0.013405019,2.21E-05,0,0,1.09E-05,1.19E-05,6.75E-08,0,0,8.58E-08,5.11E-07,1.07E-06,7.51E-05,6.26E-07,2.08E-06,3.64E-07,2.03E-06,5.55E-07,2.23E-07,1.37E-06,2.37E-07,1.47E-06,3.23E-07,9.04E-07,1.15E-07,6.54E-07,9.77E-08,0,0,4.85E-08,4.00E-08,4.10E-08,5.08E-09,0,0,0,0,4.31E-07
85,SGG85,85,2,5,Sample,Glyncastle,8,eight,FeOB-rich,1,December,42709,0.517361111,12.5,6.2,56.8,1319,19,2.707220919,0.427128545,1.985188233,2.301023455,0.256397961,0.017901799,9.972559846,0.012192179,0.010010412,0.009577966,6.71E-06,0.003895467,0,1.25E-05,3.80E-06,0,0,0.028377419,0.268539789,0.000402244,0.000690565,0,0.000272591,4.56E-06,0,2.23E-05,1.18E-05,9.65E-05,0.016514898,2.12E-06,0,0,8.54E-08,1.10E-06,1.28E-07,0,0,8.06E-10,3.03E-07,7.31E-07,0.000115598,1.54E-07,1.87E-07,1.98E-08,8.42E-08,4.60E-09,2.82E-08,4.05E-08,6.06E-09,4.79E-08,1.42E-08,4.37E-08,1.91E-09,2.96E-08,4.12E-09,0,0,3.61E-08,4.18E-08,8.77E-09,1.75E-07,0,0,0,0,2.62E-07
86,SGG86,86,2,5,Sample,Glyncastle,8,eight,FeOB-rich,2,December,42709,0.527777778,12.5,6.2,56.9,1320,18.7,3.168820799,0.39899433,1.952273195,2.305373216,0.256115895,0.014353695,9.808605965,0.01280116,0.010418645,0.009514033,6.44E-06,0.004014984,0,1.30E-05,3.21E-06,0,0,0.029628282,0.26208766,0.000423066,0.000713474,0,0.000273609,4.76E-06,0,2.13E-05,1.46E-05,9.92E-05,0.01685089,2.02E-06,0,0,1.35E-07,2.40E-06,1.07E-07,0,0,0,4.97E-07,7.62E-07,0.000118968,1.30E-07,1.33E-07,1.28E-08,6.19E-08,1.20E-08,2.12E-08,2.51E-08,6.00E-09,4.79E-08,1.14E-08,3.31E-08,3.12E-09,2.34E-08,2.61E-09,0,0,2.70E-08,6.62E-09,2.10E-08,1.85E-07,0,0,0,0,2.69E-07
87,SGG87,87,2,5,Sample,Glyncastle,8,eight,FeOB-rich,3,December,42709,0.545138889,12.5,6.19,57.5,1320,18.6,3.193772144,0.419455577,1.907015017,2.305373216,0.257244159,0.017095412,9.777376655,0.012487941,0.010241857,0.009342136,6.42E-06,0.003922492,0,1.16E-05,2.97E-06,0,0,0.028069346,0.266525207,0.000409182,0.000679596,0,0.000240286,4.44E-06,0,2.03E-05,2.06E-05,9.74E-05,0.016376051,1.93E-06,0,0,0,6.06E-07,7.87E-08,0,0,0,3.85E-07,7.71E-07,0.00011703,1.18E-07,1.23E-07,6.81E-09,4.89E-08,4.14E-09,1.93E-08,2.80E-08,5.39E-09,4.72E-08,1.09E-08,3.25E-08,2.18E-09,2.96E-08,3.00E-09,0,0,2.72E-08,1.64E-08,1.47E-08,1.71E-07,0,0,0,0,2.72E-07
88,SGG88,88,3,5,Sample,Morlais,3,three,FeOB-rich,1,December,42709,0.597222222,13.8,6.57,36.4,1104,0.7,1.896302211,0.641971646,1.137626003,4.053977052,0.427047869,0.01209581,3.475822268,0.00857221,0.007113026,0.006406729,1.51E-06,0.001977219,0,8.71E-06,3.71E-06,0,0,0.010361304,0.282812835,1.56E-05,1.93E-05,1.82E-05,4.48E-05,8.47E-06,0,1.82E-05,3.46E-05,0.000107516,0.006387205,6.70E-07,0,0,2.30E-06,2.97E-06,0,0,0,1.54E-08,2.16E-07,1.09E-06,0.000216481,8.96E-08,1.63E-07,1.61E-08,8.29E-08,4.72E-09,3.30E-08,3.47E-08,2.95E-09,3.65E-08,5.80E-09,2.21E-08,1.17E-09,1.37E-08,2.99E-09,0,0,3.19E-08,8.97E-09,9.73E-09,0,0,0,0,0,1.10E-06
89,SGG89,89,3,5,Sample,Morlais,3,three,FeOB-rich,2,December,42709,0.607638889,13.8,6.62,33.4,1104,0.3,1.9462049,0.670105861,1.152026332,4.027878487,0.423663078,0.011611978,3.466453475,0.008668503,0.00706438,0.006728829,1.65E-06,0.001978771,0,8.82E-06,1.99E-06,0,0,0.010423303,0.277477129,1.53E-05,1.89E-05,2.74E-05,2.59E-05,8.47E-06,0,1.91E-05,3.92E-05,0.000109635,0.006423947,6.47E-07,0,0,1.80E-06,3.06E-06,0,0,0,1.04E-08,2.37E-07,1.11E-06,0.000218322,6.30E-08,9.17E-08,1.01E-08,9.23E-08,0,3.87E-08,2.75E-08,2.94E-09,3.41E-08,5.61E-09,1.17E-08,3.95E-10,2.30E-08,3.10E-09,0,0,2.07E-08,2.34E-08,9.31E-10,0,0,0,0,0,1.13E-06
90,SGG90,90,3,5,Sample,Morlais,3,three,FeOB-rich,3,December,42709,0.618055556,13.8,6.6,34.5,1104,0.3,1.933729228,0.590818527,1.143797573,4.15402155,0.422252748,0.011934533,3.44355198,0.008444506,0.006984639,0.006257996,1.76E-06,0.001945161,0,8.36E-06,1.52E-06,0,0,0.010082346,0.274994606,1.49E-05,1.79E-05,1.88E-05,1.27E-05,8.34E-06,0,1.85E-05,3.77E-05,0.000106458,0.006235806,7.01E-07,0,0,1.82E-06,2.45E-06,0,0,0,3.03E-10,1.67E-07,1.05E-06,0.00021307,8.10E-08,1.32E-07,1.51E-08,1.33E-07,0,4.12E-08,4.80E-08,4.32E-09,4.04E-08,4.99E-09,2.34E-08,1.84E-09,1.33E-08,2.31E-09,0,0,1.02E-08,2.70E-08,1.25E-08,0,0,0,0,0,1.08E-06
91,SGG91,91,4,5,Sample,Lindsay,2,two,FeOB-rich,1,December,42710,0.4375,15,6.93,16.6,976.1,0.2,1.659264434,1.427172025,1.590207776,4.528100977,0.458921323,0,2.426517432,0.006264428,0.005086427,0.004706841,3.78E-06,0.00228126,0,1.19E-05,3.55E-06,0,0,0.010886668,0.295991308,4.90E-06,8.72E-06,5.59E-06,6.97E-05,1.48E-05,0,3.24E-05,3.92E-05,0.000286166,0.004250793,8.01E-07,0,0,5.64E-06,7.17E-06,0,0,0,5.88E-08,1.01E-07,3.83E-06,0.000354503,5.81E-08,1.01E-07,1.39E-08,5.55E-08,0,5.59E-08,2.21E-08,6.02E-09,5.24E-08,9.88E-09,2.78E-08,3.39E-09,2.72E-08,4.36E-09,0,6.67E-08,3.94E-08,1.64E-08,2.69E-08,0,0,0,0,0,1.10E-06
92,SGG92,92,4,5,Sample,Lindsay,2,two,FeOB-rich,2,December,42710,0.447916667,14.9,6.92,16.9,1236,0,1.596886072,1.460421553,1.557292738,4.502002412,0.461741983,0.01209581,2.4098618,0.006080301,0.004950839,0.004690209,4.12E-06,0.002281689,0,1.20E-05,7.70E-06,0,2.19E-07,0.01084619,0.314013681,4.84E-06,8.74E-06,9.82E-06,7.81E-05,1.52E-05,0,3.40E-05,3.90E-05,0.000282687,0.004247856,7.90E-07,0,0,5.92E-06,7.73E-06,0,0,0,8.08E-08,2.33E-07,3.78E-06,0.000356535,5.40E-08,9.10E-08,1.51E-08,1.02E-07,0,6.14E-08,3.04E-08,4.74E-09,3.41E-08,9.53E-09,2.61E-08,2.24E-09,2.14E-08,4.24E-09,0,5.54E-08,5.75E-08,1.86E-08,1.57E-08,0,0,0,4.69E-08,0,1.09E-06
93,SGG93,93,4,5,Sample,Lindsay,2,two,FeOB-rich,3,December,42710,0.458333333,14.9,6.91,17.1,1234,0.1,1.621837417,1.468094521,1.586093396,4.502002412,0.452715872,0.011128146,2.453582835,0.006276879,0.005180068,0.004676714,4.16E-06,0.00231938,0,1.20E-05,2.89E-06,0,0,0.011204036,0.310672606,4.75E-06,7.89E-06,6.26E-06,4.33E-05,1.54E-05,0,3.61E-05,4.81E-05,0.000294017,0.004322943,7.83E-07,0,0,5.94E-06,6.13E-06,0,0,0,1.35E-08,1.41E-07,3.94E-06,0.000363633,2.96E-08,4.81E-08,8.44E-09,6.96E-08,0,6.10E-08,3.54E-08,5.20E-09,4.45E-08,7.65E-09,2.65E-08,2.23E-09,2.86E-08,4.24E-09,0,3.47E-08,5.40E-08,4.32E-08,4.13E-08,0,0,0,0,0,1.08E-06
94,SGG94,94,5,5,Sample,Mountain Gate,2,two,FeOB-rich,1,December,42710,0.486111111,11.8,6.31,50.8,939.1,77,2.033534608,0.61383743,1.612836865,1.157036369,0.314785616,0,1.928930417,0.00383639,0.002911052,0.002504025,4.07E-06,0.002307535,0,9.03E-06,5.92E-07,0,0,0.02307103,0.043540255,0.000746314,0.001286634,0,0.00030931,1.22E-05,0,0.000112895,3.81E-05,0.000168582,0.007403267,6.78E-07,0,0,1.73E-06,3.55E-06,0,0,0,1.27E-09,1.94E-07,2.97E-06,0.000297211,1.03E-07,1.63E-07,2.26E-08,1.52E-07,3.75E-08,5.43E-08,1.71E-08,3.53E-09,3.56E-08,4.54E-09,2.19E-08,1.50E-09,2.41E-08,3.11E-09,0,0,2.31E-08,1.26E-08,1.70E-08,3.47E-08,0,0,0,0,2.37E-06
95,SGG95,95,5,5,Sample,Mountain Gate,2,two,FeOB-rich,2,December,42710,0.496527778,11.8,6.33,49.8,943.8,69.3,1.896302211,0.580587903,1.621065624,1.113538761,0.344402542,0.012418365,1.933094325,0.003887432,0.002955023,0.002725816,4.74E-06,0.002336508,0,9.20E-06,9.02E-07,0,0,0.02314513,0.04503823,0.000735742,0.001300311,0,0.000327827,1.25E-05,0,0.000115317,3.53E-05,0.000169069,0.007317717,6.85E-07,0,0,1.62E-06,2.65E-06,0,0,0,1.34E-08,2.28E-07,2.93E-06,0.000297286,8.11E-08,1.35E-07,2.05E-08,1.24E-07,1.94E-08,5.66E-08,3.23E-08,2.23E-09,2.18E-08,4.96E-09,2.09E-08,1.20E-09,2.50E-08,4.35E-09,0,0,3.47E-08,3.36E-08,1.97E-08,3.41E-08,0,0,0,0,2.38E-06
96,SGG96,96,5,5,Sample,Mountain Gate,2,two,FeOB-rich,3,December,42710,0.506944444,11.8,6.35,48.3,924,74.9,2.008583263,0.580587903,1.579921827,1.113538761,0.348351465,0.012257088,1.939340187,0.003911401,0.00293012,0.00315216,4.41E-06,0.002331102,0,9.22E-06,3.54E-06,0,0,0.023062345,0.043211158,0.000737503,0.001322607,0,0.000278221,1.22E-05,0,0.00011469,3.60E-05,0.000168538,0.007420317,6.91E-07,0,0,1.54E-06,2.53E-06,0,0,0,1.17E-08,2.48E-07,2.96E-06,0.000295089,5.41E-08,9.42E-08,1.14E-08,1.17E-07,0,5.48E-08,2.80E-08,3.66E-09,2.59E-08,4.80E-09,1.53E-08,0,1.04E-08,4.10E-09,0,0,1.14E-08,1.52E-08,8.24E-09,3.28E-08,0,0,0,0,2.43E-06
97,SGG97,97,11,5,Sample,Taff's Well,0,zero,FeOB-rich,1,December,42710,0.604166667,21.2,7.29,,515.3,24,0.998053795,0.080566163,0.637728862,0.1309278,0.902329019,0.011450701,0.230055921,0.009972209,0.008090105,0.007158646,0,0.002784948,0,1.65E-05,6.98E-06,0,0,0.003649549,0.024725836,1.01E-05,1.11E-05,0,0.000161027,8.03E-05,0,6.79E-06,3.23E-05,2.40E-05,0.003313379,2.21E-07,0,0,2.89E-06,3.34E-06,0,0,0,0,1.96E-07,7.85E-07,0.001938275,9.22E-08,9.67E-08,7.43E-09,7.33E-08,2.71E-09,3.12E-07,2.48E-08,0,0,0,1.58E-09,0,9.96E-09,1.60E-09,0,0,2.91E-08,2.29E-08,2.83E-08,1.31E-07,0,0,0,0,1.94E-06
98,SGG98,98,11,5,Sample,Taff's Well,0,zero,FeOB-rich,2,December,42710,0.614583333,21.2,7.29,,516.7,33,1.047956485,0.080054632,0.638551738,0.149631771,0.907406206,0.011128146,0.229951824,0.010003786,0.008238826,0.007586774,9.89E-08,0.002873359,0,1.68E-05,6.22E-06,0,0,0.003713138,0.024809663,9.73E-06,9.30E-06,0,8.62E-05,8.40E-05,0,6.60E-06,3.38E-05,2.46E-05,0.003417319,2.23E-07,0,0,3.00E-06,4.76E-06,0,0,0,0,1.82E-07,8.76E-07,0.001974168,6.73E-08,4.17E-08,8.87E-09,4.73E-08,0,3.13E-07,1.89E-08,5.86E-11,3.81E-09,1.05E-09,3.53E-09,0,0,1.80E-09,0,0,5.21E-08,4.35E-08,3.17E-08,1.31E-07,0,0,0,0,1.96E-06
99,SGG99,99,11,5,Sample,Taff's Well,0,zero,FeOB-rich,3,December,42710,0.625,21,7.29,-4.5,519.5,38.7,1.097859175,0.080566163,0.649249126,0.138322393,0.907688272,0.011289423,0.229327237,0.009958541,0.008072924,0.007759265,2.45E-08,0.002815923,0,1.63E-05,7.13E-06,0,0,0.003595461,0.024433384,9.09E-06,9.00E-06,0,5.38E-05,8.03E-05,0,5.77E-06,2.92E-05,2.39E-05,0.003276704,2.13E-07,0,0,2.37E-06,1.70E-06,0,0,0,0,1.21E-07,7.89E-07,0.001928683,5.73E-08,1.86E-08,7.95E-09,6.53E-08,9.98E-09,3.00E-07,1.21E-08,2.59E-10,2.37E-09,0,5.95E-09,0,2.35E-09,2.27E-09,0,0,3.57E-08,3.46E-08,3.04E-08,1.29E-07,0,0,0,0,1.91E-06
100,SGG100,100,6,5,Sample,Dinas,10,ten,FeOB-rich,1,December,42711,0.46875,12.4,6.7,,567.1,3.7,0.910724088,0.268553876,0.580127546,1.992190439,0.435227782,0.011611978,0.607618286,0.007093986,0.005738103,0.004884762,1.12E-06,0.006063672,0,1.03E-05,1.86E-06,0,0,0.012668672,0.085101189,1.83E-05,3.37E-05,0,0.000106795,1.30E-05,0,2.89E-05,3.17E-05,6.66E-05,0.003771375,1.45E-07,0,0,7.01E-07,1.25E-06,0,0,0,0,6.75E-07,5.94E-07,0.000326209,2.70E-08,3.99E-08,3.11E-09,3.49E-08,0,5.90E-08,6.43E-09,0,3.62E-09,0,4.69E-09,0,1.30E-08,2.05E-09,0,0,4.98E-08,3.03E-08,3.35E-08,0,0,0,0,0,2.57E-07
101,SGG101,101,6,6,Sample,Dinas,10,ten,FeOB-rich,2,December,42711,0.479166667,12.4,6.37,,570.6,1,0.898248416,0.268553876,0.567784407,1.992190439,0.432971255,0.011450701,0.60564043,0.006840761,0.005504491,0.005135314,1.33E-06,0.005997188,0,1.00E-05,2.66E-06,0,0,0.012396178,0.087976556,1.80E-05,3.24E-05,0,8.12E-05,1.31E-05,0,3.03E-05,3.42E-05,6.55E-05,0.003735959,3.15E-07,0,0,5.47E-07,6.91E-07,0,0,0,0,1.07E-07,6.17E-07,0.000319786,7.19E-08,7.23E-08,1.13E-08,5.58E-08,0,5.04E-08,1.84E-08,7.40E-10,1.12E-08,2.06E-09,1.01E-08,0,8.72E-09,3.18E-09,0,0,2.58E-09,1.44E-08,1.60E-09,0,0,0,0,0,2.62E-07
102,SGG102,102,6,6,Sample,Dinas,10,ten,FeOB-rich,3,December,42711,0.489583333,12.4,6.28,,569.3,2,0.910724088,0.26599622,0.584653364,2.05308709,0.439176706,0.011289423,0.610428924,0.007034393,0.005694087,0.005183317,1.17E-06,0.006025587,0,1.06E-05,9.09E-05,0,0,0.012699157,0.090172947,1.82E-05,3.27E-05,0,3.70E-05,1.33E-05,0,2.98E-05,3.35E-05,6.73E-05,0.003814065,2.58E-07,0,0,0,0,0,0,0,0,7.03E-08,6.14E-07,0.000325417,6.50E-08,8.97E-08,7.83E-09,6.31E-08,1.06E-08,5.00E-08,7.24E-09,2.40E-10,9.74E-09,6.41E-10,1.88E-08,0,1.91E-08,2.58E-09,0,0,4.04E-08,2.82E-08,3.94E-08,0,7.81E-06,7.56E-06,8.95E-08,7.51E-09,3.22E-07
103,SGG103,103,7,6,Sample,Taff Bargoed,11,eleven,FeOB-rich,1,December,42711,0.583333333,12.1,6.78,,508,76.5,1.871350866,0.271111532,0.932318453,0.695961726,0.275860513,0,1.406880442,0.004636748,0.003472612,0.003662512,2.80E-07,0.002449612,0,1.04E-05,1.97E-06,0,0,0.008828016,0.102321149,1.43E-05,1.86E-05,0,6.89E-05,1.28E-05,0,4.08E-05,3.41E-05,4.85E-05,0.006764416,2.54E-07,0,0,3.65E-06,5.59E-06,0,0,0,6.83E-08,1.10E-07,2.89E-07,0.000313708,9.30E-08,1.25E-07,1.54E-08,5.75E-08,0,5.50E-08,1.51E-08,0,0,7.65E-10,6.62E-09,0,6.30E-09,5.91E-10,0,0,3.30E-08,2.65E-08,2.33E-08,0,0,0,0,0,7.91E-07
104,SGG104,104,7,6,Sample,Taff Bargoed,11,eleven,FeOB-rich,2,December,42711,0.59375,12,6.85,,698,39.6,2.058485952,0.291572779,0.910100802,0.687262204,0.277552909,0.011611978,1.39699116,0.004569956,0.003407033,0.003466864,4.51E-07,0.002409611,0,1.04E-05,2.96E-06,0,0,0.008648109,0.100236234,1.39E-05,1.63E-05,0,7.11E-05,1.24E-05,0,3.89E-05,2.99E-05,4.82E-05,0.006714499,2.29E-07,0,0,3.63E-06,5.23E-06,0,0,0,5.79E-08,1.76E-07,2.67E-07,0.000302665,2.55E-08,4.61E-08,2.85E-09,4.68E-08,0,4.54E-08,0,3.00E-10,2.34E-09,0,1.51E-09,0,0,5.63E-10,0,0,5.30E-08,4.67E-08,2.57E-08,0,0,0,0,0,7.71E-07
105,SGG105,105,7,6,Sample,Taff Bargoed,11,eleven,FeOB-rich,3,December,42711,0.604166667,12,6.86,,698.8,59.2,1.971156245,0.301803403,0.917918124,0.695961726,0.278399106,0.011611978,1.383978947,0.004578174,0.003402258,0.00377073,3.70E-07,0.002432161,0,1.12E-05,1.54E-06,0,0,0.008728468,0.103106902,1.41E-05,1.77E-05,0,2.69E-05,1.31E-05,0,4.20E-05,2.21E-05,4.82E-05,0.006662896,2.31E-07,0,0,3.57E-06,5.08E-06,0,0,0,1.42E-08,4.25E-07,2.76E-07,0.000305857,3.45E-08,6.36E-08,9.62E-10,3.83E-08,0,5.09E-08,0,0,6.95E-09,0,5.38E-09,0,5.26E-09,3.07E-10,0,0,0,3.97E-10,6.09E-09,0,0,0,0,0,7.90E-07
106,SGG106,106,9,6,Sample,Celynen North,12,twelve,SOB-rich,1,December,42711,0.645833333,13.2,6.7,,1276,8.7,3.143869455,0.378533082,1.318658712,4.71079093,0.488820316,0.012579643,2.70654025,0.014464064,0.011719956,0.011101329,1.47E-06,0.008714674,0,1.48E-05,8.72E-06,0,0,0.016011957,0.041663773,3.71E-06,1.07E-05,0,4.42E-05,5.04E-05,0,2.40E-06,2.38E-05,9.77E-05,0.009608924,1.33E-06,0,0,0,3.41E-07,0,0,0,0,2.14E-07,7.25E-07,0.001242419,1.43E-07,2.75E-07,5.00E-08,2.17E-07,5.48E-08,2.27E-07,1.03E-07,1.43E-08,7.99E-08,1.76E-08,5.16E-08,3.51E-09,3.57E-08,6.14E-09,0,0,5.03E-08,5.67E-08,6.46E-08,0,0,0,0,0,1.41E-06
107,SGG107,107,9,6,Sample,Celynen North,12,twelve,SOB-rich,2,December,42711,0.65625,13.2,6.93,,1284,10.6,3.093966765,0.370860114,1.308372763,5.04572251,0.494179569,0,2.707581227,0.014846443,0.011860106,0.011306358,1.49E-06,0.008907848,0,1.50E-05,8.84E-06,0,0,0.016296566,0.041310663,3.91E-06,1.11E-05,0,5.94E-05,5.23E-05,0,2.98E-06,2.58E-05,9.88E-05,0.009677639,1.36E-06,0,0,0,8.54E-07,0,0,0,0,1.20E-07,7.24E-07,0.001250497,1.38E-07,2.78E-07,4.77E-08,2.47E-07,5.08E-08,2.00E-07,1.05E-07,1.44E-08,8.32E-08,1.70E-08,5.00E-08,4.32E-09,3.68E-08,5.92E-09,0,0,1.13E-08,1.62E-08,1.98E-08,0,0,0,1.43E-08,0,1.44E-06
108,SGG108,108,9,6,Sample,Celynen North,12,twelve,SOB-rich,3,December,42711,0.666666667,13.1,6.97,,1287,13.2,3.081491092,0.383648394,1.306315573,4.236667004,0.498128492,0,2.754425193,0.014697352,0.011734252,0.011235496,1.43E-06,0.008869569,0,1.49E-05,8.05E-06,0,4.20E-07,0.016349656,0.041571141,3.75E-06,1.15E-05,0,4.61E-05,5.17E-05,0,2.48E-06,2.23E-05,9.76E-05,0.009591613,1.34E-06,0,0,0,1.06E-07,0,0,0,0,1.67E-07,7.41E-07,0.001213146,1.30E-07,2.29E-07,4.97E-08,2.49E-07,5.99E-08,2.38E-07,1.25E-07,1.26E-08,7.67E-08,1.88E-08,5.28E-08,3.89E-09,4.36E-08,5.10E-09,0,0,4.81E-08,5.17E-08,3.06E-08,0,0,0,0,0,1.42E-06
